,src_lang,src_text,HARM_CATEGORY_SEXUALLY_EXPLICIT,HARM_CATEGORY_HATE_SPEECH,HARM_CATEGORY_HARASSMENT,HARM_CATEGORY_DANGEROUS_CONTENT
0,Modern Standard Arabic,فأنت تموت في منتصف الحياة قد تموت في منتصف جملة,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
1,Modern Standard Arabic,-أعتقد أن لديك شعر جميل,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
2,Modern Standard Arabic,أيمكن أن أجلس معك ومع زوجتك لدقيقة؟,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
3,Modern Standard Arabic,(جورج)، علينا أن نُخرجك من هنا الآن,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,HIGH
4,Modern Standard Arabic,هو أمسكه، ولم أكن حتى أفكر أنا سحبته فحسب و ..,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
5,Modern Standard Arabic,هو مناخُ الحبِّ، تعال وقِعْ في الحبّ.,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
6,Modern Standard Arabic,الان هيا عُد ارجع الى السيارة ، هاه ؟,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
7,Modern Standard Arabic,والآن، أنت قاتل رجال بيض,NEGLIGIBLE,LOW,MEDIUM,LOW
8,Modern Standard Arabic,أحتاج - ويس، انا - أحتاج الى خمس دقائق معه,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
9,Modern Standard Arabic,جميل احب أن أرى الجمال الهائل,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
10,Modern Standard Arabic,لكن هؤلاء الأعداء كيف نهزمهم إذا لم تخبرنا عنهم؟,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
11,Modern Standard Arabic,الحصول على الخروج من هذا الطريق الدامي!,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
12,Modern Standard Arabic,أحضرت لكما الحليب الساخن,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
