target,source,cosine_similarity,dialect
(هونغ كونغ) وجزر (الفلبين),(هونغ كونغ) وجزر (الفلبين),1.0000004,Egyptian
الرئيس منحه ميدالية.,الرئيس منحه ميدالية.,1.0000002,Egyptian
قصص من الثعابين البحرية ... قصص من العالم يقترب من نهايته، قصص الصحون الطائرة.,قصص من الثعابين البحرية ... قصص من العالم يقترب من نهايته، قصص الصحون الطائرة.,1.0000002,Egyptian
يا إلهي يا إلهي,يا إلهي يا إلهي,1.0000002,Egyptian
أنا من تكساس,أنا من تكساس,1.0000002,Egyptian
وافق على قراءة البيان.,وافق على قراءة البيان.,1.0000002,Egyptian
أكبر مصنع شوكولاتة في التاريخ,أكبر مصنع شوكولاتة في التاريخ,1.0000002,Egyptian
كنز من العالم لجمع عناصر مختلفة,كنز من العالم لجمع عناصر مختلفة,1.0000002,Egyptian
ليلة سعيدة ليلة سعيدة,ليلة سعيدة ليلة سعيدة,1.0000001,Egyptian
ومن هو الشاهد الجديد؟,ومن هو الشاهد الجديد؟,1.0000001,Egyptian
لكن نشكرك على مشاركتنا,لكن نشكرك على مشاركتنا,1.0000001,Egyptian
2-28 شريكك الجديد,2-28 شريكك الجديد,1.0,Egyptian
أنت وخدعة مع برج الراديو.,أنت وخدعة مع برج الراديو.,1.0,Egyptian
اشتريت تذكرتي وبعد أسبوعين,اشتريت تذكرتي وبعد أسبوعين,1.0,Egyptian
اسمع لقد قابلتك للتو بحق المسيح,اسمع لقد قابلتك للتو بحق المسيح,1.0,Egyptian
كنا في غاية السعادة,كنا في غاية السعادة,1.0,Egyptian
إنها فرصتك للصعود للأعلى ضد المقاتلين الألمان.,إنها فرصتك للصعود للأعلى ضد المقاتلين الألمان.,1.0,Egyptian
تربيتي خلال طفولتي كانت غريبة نوعا ما قضيت ثمانية أشهر من كل سنة في العاصمة واشنطن في شقة صغيرة في الفندق,تربيتي خلال طفولتي كانت غريبة نوعا ما قضيت ثمانية أشهر من كل سنة في العاصمة واشنطن في شقة صغيرة في الفندق,1.0,Egyptian
مايو 1940 - مايو 1941,مايو 1940 - مايو 1941,1.0,Egyptian
آمالي عالية لمستقبلنا,آمالي عالية لمستقبلنا,0.9999999,Egyptian
أغلبكم كان في فرنسا,أغلبكم كان في فرنسا,0.9999999,Egyptian
هل سمعت من قبل عن مبدأ (بيتر.,هل سمعت من قبل عن مبدأ (بيتر.,0.9999999,Egyptian
ـ آسفة ـ اللعنة على الكتف,ـ آسفة ـ اللعنة على الكتف,0.9999999,Egyptian
وهو مواطن سوري في الولايات المتحدة,وهو مواطن سوري في الولايات المتحدة,0.9999999,Egyptian
أنا في مركز التجارة العالمي,أنا في مركز التجارة العالمي,0.9999999,Egyptian
فيما قلت كان موضوع هذه القصّة، مرّة أخرى؟,فيما قلت كان موضوع هذه القصّة، مرّة أخرى؟,0.9999999,Egyptian
اعتني بالأطفال,اعتني بالأطفال,0.9999999,Egyptian
هل تعلم أن البلاستيك يستهلك 12 مليون برميل,هل تعلم أن البلاستيك يستهلك 12 مليون برميل,0.9999998,Egyptian
.. دستور الولايات المتحدة ..,.. دستور الولايات المتحدة ..,0.9999998,Egyptian
معظم جيراني من الأجانب,معظم جيراني من الأجانب,0.99999976,Egyptian
- والمطبخ هنا,- والمطبخ هنا,0.9999996,Egyptian
وهذا اللون يكون الأزرق,وهذا اللون يكون الازرق,0.99993706,Egyptian
فى لندن أكتشفنا ان ابى كان يموت,فى لندن اكتشفنا ان ابى كان يموت,0.9999179,Egyptian
في الحقيقة، هو كان نوع فكرته.,فى الحقيقة، هو كان نوع فكرته.,0.99983484,Egyptian
عاشت الديناصورات والبشر على الأرض في نفس الوقت.,عاشت الديناصورات والبشر على الأرض فى نفس الوقت.,0.9997822,Egyptian
انا مارشال الولايات المتحدة مع برنامج حماية الشهود,أنا مارشال الولايات المتحدة مع برنامج حماية الشهود,0.99966717,Egyptian
وغالباً التفسير البسيط هو التفسير الصحيح,وغالبا التفسير البسيط هو التفسير الصحيح,0.99961966,Egyptian
مدير حديقة الحيوان في شيكاغو.,مدير حديقة الحيوان فى شيكاغو.,0.9995272,Egyptian
"صباح الخير, سيدات",صباح الخير يا سيدات,0.9995214,Egyptian
يا إلهي ، يا إلهي,يا إلهي يا إلهي,0.99950886,Egyptian
-الملك ريتشارد مات؟,-الـملك ريتشارد مات؟,0.9995077,Egyptian
"انا آسف , انا آسف.",أنا آسف، أنا آسف,0.99941766,Egyptian
-هل قام (دانيال) بعمل غير قانوني؟,- هل قام (دانيال) بعمل غير قانوني؟,0.9993938,Egyptian
‫بعد أسبوعين، اكتشفت أني حامل.,بعد أسبوعين، اكتشفت أني حامل.,0.9993781,Egyptian
في الحقيقة انها هنا من 13 سنة,فى الحقيقة إنها هنا من 13 سنة,0.999372,Egyptian
-شكراً يا جيري، شكراً .,- شكرًا يا جيري، شكرًا.,0.9993532,Egyptian
أكثر واقعيةً مما تتخيلي,أكثر واقعية مما تتخيلي,0.9993434,Egyptian
