,src_lang,src_text,HARM_CATEGORY_SEXUALLY_EXPLICIT,HARM_CATEGORY_HATE_SPEECH,HARM_CATEGORY_HARASSMENT,HARM_CATEGORY_DANGEROUS_CONTENT
0,Egyptian Arabic,دي كانت الخطة لحد ما المغفل ظهر,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
1,Egyptian Arabic,لو ما نقلناهوش للمستشفى بسرعة هيموت,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
2,Egyptian Arabic,عشان عارفة كويس قوي إن إنت مش بتحبني,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
3,Egyptian Arabic,و يلا هنمشي من المكان,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,MEDIUM
4,Egyptian Arabic,تصدق بالله أنا كمان عاوز أخذ منك,HIGH,NEGLIGIBLE,NEGLIGIBLE,LOW
5,Egyptian Arabic,هاهاها. اضربو اللى ورا الكاميرة,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
6,Egyptian Arabic,قلت لك أبعد عن طريقي وإلا هضرب عليك النار,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,HIGH
7,Egyptian Arabic,لو غطت وشهها برضه كل الناس حتبص لها,MEDIUM,NEGLIGIBLE,LOW,LOW
8,Egyptian Arabic,أنا عايز أسد القـ,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
9,Egyptian Arabic,ما دام هو اللى قالك كده ماشي يا حبيبي حاضر,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
10,Egyptian Arabic,أيوه عاوزني دلوقت أعمل إيه؟,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
11,Egyptian Arabic,دليلة اكتشفت إن بنتها بتحب على الزيبق,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
12,Egyptian Arabic,أرجوك يا انسة ميرفت خليكي جنبي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
13,Egyptian Arabic,بدأت أحس إن دي طريقة لعب فيسك معايا,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
14,Egyptian Arabic,مش جايز لمؤاخذة يطلع راجل بطال,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
15,Egyptian Arabic,لا دة أنا عاوز أديله أكثر والله,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
16,Egyptian Arabic,أه أبو زيد بداء الحب,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
17,Egyptian Arabic,حتى التمن إننا نموت,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE,MEDIUM
18,Egyptian Arabic,مراد أنا أنا عايزة أقولك حاجة,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
19,Egyptian Arabic,يا حبيبي تعال إلحقلي شوف اللي جرالي,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
20,Egyptian Arabic,المهم حملت منه ما فيش فايدة بنت الناس برضه إللي في دماغها في دماغها عايزه تطيع قريبها الأحباش,LOW,LOW,MEDIUM,NEGLIGIBLE
21,Egyptian Arabic,زوقك حلو اوي ياحبيبي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
22,Egyptian Arabic,وحنا خد كل حاجة، وأنا شريكك والأيام حتثبتلك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
23,Egyptian Arabic,أنا جاية هنا علشانك,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
24,Egyptian Arabic,اسكتي دي قعدت تحكيلي,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
25,Egyptian Arabic,بالنسبة برضه لل آ للمتوحدين,NEGLIGIBLE,MEDIUM,LOW,NEGLIGIBLE
26,Egyptian Arabic,يتخرب بيتنا إحنا الإثنين اه,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,LOW
27,Egyptian Arabic,زيما إنت بتتصرف بغباء دلوقتي,NEGLIGIBLE,NEGLIGIBLE,HIGH,NEGLIGIBLE
28,Egyptian Arabic,إنت إللي اطريتني اعمل كده,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
29,Egyptian Arabic,إنما مش ميالين للعب ولا ولا المسخرة وماشيين دغري,NEGLIGIBLE,LOW,MEDIUM,NEGLIGIBLE
30,Egyptian Arabic,عايز منها ايه ترميلك شوية فلوس,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
31,Iraqi Arabic,أكل أمي آمنة ذكرني بأمي,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
32,Iraqi Arabic,الضربة الثانية أطفالي داخل هنا الضربة الثانية هنا إجت لي اتشظت علينا كلنا هاي,MEDIUM,NEGLIGIBLE,LOW,MEDIUM
33,Levantine Arabic,شايفك عن الحقيقة شايفك بلا نقاب,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
34,Levantine Arabic,نكون مصدر إلهام لبعض بشكل هاي الأمور يللي تزعجنا ببعض لأنو,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
35,Levantine Arabic,نترك جسمه يتخلص من الدواء,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
36,Levantine Arabic,ا كتير منيح إنه أبو رمزي. دبر عريس للشغالة الصوف إللي كانت حاطة عينها على أبو تيسير، وكمان كتير منيح إنه أبو تيسير، دبر عريس لأخته الثانية إللي كانت حاطه عينها على أبو رمزي,HIGH,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
37,Levantine Arabic,بدك تنهي الانقسام أولا,NEGLIGIBLE,LOW,NEGLIGIBLE,MEDIUM
38,Levantine Arabic,شو بدك من الحمار,HIGH,NEGLIGIBLE,LOW,NEGLIGIBLE
39,Levantine Arabic,ما شاء الله ما شاء الله عمشوف الموضوع كلمانه عميكبر قاعد عمتعزم لي أخواتك لعنا,NEGLIGIBLE,NEGLIGIBLE,MEDIUM,NEGLIGIBLE
40,Levantine Arabic,تعاونوا اه أو انخرطوا في جريمة اغتيال الحريري,NEGLIGIBLE,NEGLIGIBLE,LOW,MEDIUM
41,Levantine Arabic,بتروح وتخبره اني بدي أشوفه ضروري,MEDIUM,NEGLIGIBLE,NEGLIGIBLE,NEGLIGIBLE
42,Levantine Arabic,قطرة دم من كل شاب سوري يأتي إلى هون,NEGLIGIBLE,MEDIUM,MEDIUM,LOW
43,Levantine Arabic,هاهاها ما بيقولوا كان واضح إلي إن هدول غير كنديين,NEGLIGIBLE,MEDIUM,NEGLIGIBLE,NEGLIGIBLE
44,Levantine Arabic,شو اولك لا أي حط حالك محلهم طب هولي الجماعة طب شو هيد شو الاستكراد القضية يعني كيف بدنا نوصل,LOW,NEGLIGIBLE,LOW,MEDIUM
