original,translation,cosine_similarity
خمنى كم أصبع لدي؟,كم من الأصابع عندي؟,0.9681971
كل ما يلزمك هو زوجة جميلة,أنا حاسس كويس من الزوجة دي,0.6751838
لقد قلت انـهم يريدون الإعتذار ؟,أنا قلت أنهم عايزين يتأسفوا؟,0.89593136
لقد سخرتم من الاقتصاد من دون خوف.,خفتم ليه على الاقتصاد؟,0.64859164
أنتي تسألين سؤالا بسيطا,إنتي بتسألي سؤال بسيط,0.9945312
إنها أغنية الكريسماس المفضلة لديّ,دي اغنية الكريسماس المفضلة عندي,0.9597211
يجب أن ننضم في قرن العشرين,لازم ننضم في قرن العيشرين,0.7990545
عندما يتضح أنّ شخصاً تحبه أو شخصاً كنت تظن أنّك تعرفه هو شخص مختلف.,لما يتبين ان حد بتحبو او بتتصور انك عارفة طلع حد تاني.,0.75080234
لكنه لم يحصل لسبب يا (مايك).,بس ماهحصلش ليه يا (مايك).,0.7885711
لو كنت أعرف كم من مشكلة يتسبب بها لي,لو ربيتينى و عرفت قد ايه كنت زعلان لما فضلت لوحدى,0.79080135
"لذا ,انت تعلم اني تركت المنزل عندما كنت مثل عمرك",لأ، كانت امك عاوزه تخرجني من البيت شويه,0.767298
إستغرق أفضل خبراء تشفير البحرية أسابيع لفعل ما فعلته أنت في أيام.,أحسن خبراء التشفير في البحرية إستغرقوا أسابيع علشان يعملوا اللى أنت عملته في كام يوم.,0.85374165
لا، لا، لا أنت ولدي.,لا، لا، متقولش كدة,0.8078004
سأغادر للبيت باكرا اليوم على الأرجح,أيّام برو البيت على الغدا,0.7487308
ما الذي تفعلونه هنا؟,-ما تخش هنا أصلاً ؟,0.92262924
انا جائعة للغاية ، لو امكنني مجرد الحصول على شيء للأكل... .. اعتقد سأكون بخير.,هروح لو أنا جعانة,0.8280128
-الكل يضحك عليّ .,الكل بيضحك عليا,0.93429875
إنظري ليس عليكِ أن تجاوبيني الآن,مش هسيبك حاجة توصلّك,0.8155223
كنت أخدع نفسي في التفكير أنني أستطيع تجاهله.,كنت بودّع نفسي بأني هقدر أتجاهله.,0.89518946
انها حقا كلمة فرنسية.,هي كلمة فرنسية بجد.,0.9715424
لا أتذكر إذا ما كان على حائط أو على طابع,أنا مش عارف هش كتير هقدر أهدي,0.70243096
متى سيمكنني العودة لمنزلي مجددًا؟,يمكن ارجع البيت؟,0.8788229
هل كنت سعيداً بعملها؟,- شكرا، هل استمتعتِ بيها؟,0.7326993
فأنت تموت في منتصف الحياة قد تموت في منتصف جملة,"اتفرج, ما تقدرش تسيبه يموت.",0.7410673
أشعر بأن لا أحد يعتني بي بعد الآن.,ما حساش نفسي لوحدي,0.6288526
إذا، جميعنا سافرنا إلى نيويورك هذا الصباح.,حاضر، سافرنا كلنا النهاردة الصبح لنيويورك.,0.9676722
-أعتقد أن لديك شعر جميل,حظك كويس اني بحب شعر الوجه,0.8609391
